data:text/csv;charset=utf-8,Id,metric_alias_metrics_view_graph_0,metric_alias_metrics_view_graph_1,metric_alias_metrics_view_graph_2
StatusCode,Complete,Complete,Complete
Messages,,,
Full label,eu-north-1:AWS/Lambda FunctionName:FetchCurrencyRates Duration Minimum 60,eu-north-1:AWS/Lambda FunctionName:FetchCurrencyRates Duration Average 60,eu-north-1:AWS/Lambda FunctionName:FetchCurrencyRates Duration Maximum 60
Label,Duration,Duration,Duration
2024/09/02 19:52:00,1250.55,1250.55,1250.55
2024/09/02 19:53:00,1245.85,1245.85,1245.85
2024/09/02 19:54:00,1273.16,1273.16,1273.16
2024/09/02 19:55:00,1272.05,1272.05,1272.05
2024/09/02 19:56:00,1279.95,1279.95,1279.95
2024/09/02 19:57:00,1255.36,1255.36,1255.36
2024/09/02 19:58:00,1220.98,1220.98,1220.98
2024/09/02 19:59:00,1249.61,1249.61,1249.61
2024/09/02 20:00:00,1285.06,1285.06,1285.06
2024/09/02 20:01:00,1265.55,1265.55,1265.55
2024/09/02 20:02:00,1264.6,1264.6,1264.6
2024/09/02 20:03:00,1274.17,1274.17,1274.17
2024/09/02 20:04:00,1302.15,1302.15,1302.15
2024/09/02 20:05:00,1226.45,1226.45,1226.45
2024/09/02 20:06:00,1320.98,1320.98,1320.98
2024/09/02 20:07:00,1309.92,1309.92,1309.92
2024/09/02 20:08:00,1282.54,1282.54,1282.54
2024/09/02 20:09:00,1258.15,1258.15,1258.15
2024/09/02 20:10:00,1301.5,1301.5,1301.5
2024/09/02 20:11:00,1299.25,1299.25,1299.25
2024/09/02 20:12:00,1247.91,1247.91,1247.91
2024/09/02 20:13:00,1255.94,1255.94,1255.94
2024/09/02 20:14:00,1318.09,1318.09,1318.09
2024/09/02 20:15:00,1220.21,1220.21,1220.21
2024/09/02 20:16:00,1280.38,1280.38,1280.38
2024/09/02 20:17:00,1271.54,1271.54,1271.54
2024/09/02 20:18:00,1278.48,1278.48,1278.48
2024/09/02 20:19:00,1258.39,1258.39,1258.39
2024/09/02 20:20:00,1265.72,1265.72,1265.72
2024/09/02 20:21:00,1270.8,1270.8,1270.8
2024/09/02 20:22:00,1658.38,1658.38,1658.38
2024/09/02 20:23:00,1261.19,1261.19,1261.19
2024/09/02 20:24:00,1258.98,1258.98,1258.98
2024/09/02 20:25:00,1278.02,1278.02,1278.02
2024/09/02 20:26:00,1275.54,1275.54,1275.54
2024/09/02 20:27:00,1282.13,1282.13,1282.13
2024/09/02 20:28:00,1266.71,1266.71,1266.71
2024/09/02 20:29:00,1271.07,1271.07,1271.07
2024/09/02 20:30:00,1268.07,1268.07,1268.07
2024/09/02 20:31:00,1249.74,1249.74,1249.74
2024/09/02 20:32:00,1246.7,1246.7,1246.7
2024/09/02 20:33:00,1259.99,1259.99,1259.99
2024/09/02 20:34:00,1263.54,1263.54,1263.54
2024/09/02 20:35:00,968.28,968.28,968.28
2024/09/02 20:36:00,1857.65,1857.65,1857.65
2024/09/02 20:37:00,1322.49,1322.49,1322.49
2024/09/02 20:38:00,1265.91,1265.91,1265.91
2024/09/02 20:39:00,1268.83,1268.83,1268.83
2024/09/02 20:40:00,1263.39,1263.39,1263.39
2024/09/02 20:41:00,1251.18,1251.18,1251.18
2024/09/02 20:42:00,1264.41,1264.41,1264.41
2024/09/02 20:43:00,1786.4,1786.4,1786.4
2024/09/02 20:44:00,1265.54,1265.54,1265.54
2024/09/02 20:45:00,1294.81,1294.81,1294.81
2024/09/02 20:46:00,2135.01,2135.01,2135.01
2024/09/02 20:47:00,1276.63,1276.63,1276.63
2024/09/02 20:48:00,2274.34,2274.34,2274.34
2024/09/02 20:49:00,1258.91,1258.91,1258.91
2024/09/02 20:50:00,1279.74,1279.74,1279.74
2024/09/02 20:51:00,1287.37,1287.37,1287.37
2024/09/02 20:52:00,2168.32,2168.32,2168.32
2024/09/02 20:53:00,1295.76,1295.76,1295.76
2024/09/02 20:54:00,2420.69,2420.69,2420.69
2024/09/02 20:55:00,1243.89,1243.89,1243.89
2024/09/02 20:56:00,1295.19,1295.19,1295.19
2024/09/02 20:57:00,1266.37,1266.37,1266.37
2024/09/02 20:58:00,1281.3,1281.3,1281.3
2024/09/02 20:59:00,1255.41,1255.41,1255.41
2024/09/02 21:00:00,1304.61,1304.61,1304.61
2024/09/02 21:01:00,1275.38,1275.38,1275.38
2024/09/02 21:02:00,1269.86,1269.86,1269.86
2024/09/02 21:03:00,1260.93,1260.93,1260.93
2024/09/02 21:04:00,1293.22,1293.22,1293.22
2024/09/02 21:05:00,1398.5,1398.5,1398.5
2024/09/02 21:06:00,1242.36,1242.36,1242.36
2024/09/02 21:07:00,1296.59,1296.59,1296.59
2024/09/02 21:08:00,1240.51,1240.51,1240.51
2024/09/02 21:09:00,1251.75,1251.75,1251.75
2024/09/02 21:10:00,1294.76,1294.76,1294.76
2024/09/02 21:11:00,1251.81,1251.81,1251.81
2024/09/02 21:12:00,1606.11,1606.11,1606.11
2024/09/02 21:13:00,1288.68,1288.68,1288.68
2024/09/02 21:14:00,1274.39,1274.39,1274.39
2024/09/02 21:15:00,1374.36,1374.36,1374.36
2024/09/02 21:16:00,1265.46,1265.46,1265.46
2024/09/02 21:17:00,1281.46,1281.46,1281.46
2024/09/02 21:18:00,1276.64,1276.64,1276.64
2024/09/02 21:19:00,1258.11,1258.11,1258.11
2024/09/02 21:20:00,1291.97,1291.97,1291.97
2024/09/02 21:21:00,1250.79,1250.79,1250.79
2024/09/02 21:22:00,1254.67,1254.67,1254.67
2024/09/02 21:23:00,1246.76,1246.76,1246.76
2024/09/02 21:24:00,1254.88,1254.88,1254.88
2024/09/02 21:25:00,1258.21,1258.21,1258.21
2024/09/02 21:26:00,1288.18,1288.18,1288.18
2024/09/02 21:27:00,1279.99,1279.99,1279.99
2024/09/02 21:28:00,1286.78,1286.78,1286.78
2024/09/02 21:29:00,1323.34,1323.34,1323.34
2024/09/02 21:30:00,2663.67,2663.67,2663.67
2024/09/02 21:31:00,1270.8,1270.8,1270.8
2024/09/02 21:32:00,1286.44,1286.44,1286.44
2024/09/02 21:33:00,1259.63,1259.63,1259.63
2024/09/02 21:34:00,1270.29,1270.29,1270.29
2024/09/02 21:35:00,1256.17,1256.17,1256.17
2024/09/02 21:36:00,1266.9,1266.9,1266.9
2024/09/02 21:37:00,1289.23,1289.23,1289.23
2024/09/02 21:38:00,2181.66,2181.66,2181.66
2024/09/02 21:39:00,2095.11,2095.11,2095.11
2024/09/02 21:40:00,1473.26,1473.26,1473.26
2024/09/02 21:41:00,1283.78,1283.78,1283.78
2024/09/02 21:42:00,1282.45,1282.45,1282.45
2024/09/02 21:43:00,1270.97,1270.97,1270.97
2024/09/02 21:44:00,1243.05,1243.05,1243.05
2024/09/02 21:45:00,1298.45,1298.45,1298.45
2024/09/02 21:46:00,1264.22,1264.22,1264.22
2024/09/02 21:47:00,1279.13,1279.13,1279.13
2024/09/02 21:48:00,1684.55,1684.55,1684.55
2024/09/02 21:49:00,1247.38,1247.38,1247.38
2024/09/02 21:50:00,1276.23,1276.23,1276.23
2024/09/02 21:51:00,1275.38,1275.38,1275.38
2024/09/02 21:52:00,1256.84,1256.84,1256.84
2024/09/02 21:53:00,1288.25,1288.25,1288.25
2024/09/02 21:54:00,1279.5,1279.5,1279.5
2024/09/02 21:55:00,1260.05,1260.05,1260.05
2024/09/02 21:56:00,1264.26,1264.26,1264.26
2024/09/02 21:57:00,1267.82,1267.82,1267.82
2024/09/02 21:58:00,1286.17,1286.17,1286.17
2024/09/02 21:59:00,1278.28,1278.28,1278.28
2024/09/02 22:00:00,1314.71,1314.71,1314.71
2024/09/02 22:01:00,1302.56,1302.56,1302.56
2024/09/02 22:02:00,1614.34,1614.34,1614.34
2024/09/02 22:03:00,1295.06,1295.06,1295.06
2024/09/02 22:04:00,1275.93,1275.93,1275.93
2024/09/02 22:05:00,1278.05,1278.05,1278.05
2024/09/02 22:06:00,1312.08,1312.08,1312.08
2024/09/02 22:07:00,1280.43,1280.43,1280.43
2024/09/02 22:08:00,1246.55,1246.55,1246.55
2024/09/02 22:09:00,2222.06,2222.06,2222.06
2024/09/02 22:10:00,1272.59,1272.59,1272.59
2024/09/02 22:11:00,1276.86,1276.86,1276.86
2024/09/02 22:12:00,1248.84,1248.84,1248.84
2024/09/02 22:13:00,1258.38,1258.38,1258.38
2024/09/02 22:14:00,1275.42,1275.42,1275.42
2024/09/02 22:15:00,1249.45,1249.45,1249.45
2024/09/02 22:16:00,1272.01,1272.01,1272.01
2024/09/02 22:17:00,1267.15,1267.15,1267.15
2024/09/02 22:18:00,1307.41,1307.41,1307.41
2024/09/02 22:19:00,1278.96,1278.96,1278.96
2024/09/02 22:20:00,1263.24,1263.24,1263.24
2024/09/02 22:21:00,1277.53,1277.53,1277.53
2024/09/02 22:22:00,1271.4,1271.4,1271.4
2024/09/02 22:23:00,1285.48,1285.48,1285.48
2024/09/02 22:24:00,1278.5,1278.5,1278.5
2024/09/02 22:25:00,2385.99,2385.99,2385.99
2024/09/02 22:26:00,1309.73,1309.73,1309.73
2024/09/02 22:27:00,1276.49,1276.49,1276.49
2024/09/02 22:28:00,1301.08,1301.08,1301.08
2024/09/02 22:29:00,1279.84,1279.84,1279.84
2024/09/02 22:30:00,1284.74,1284.74,1284.74
2024/09/02 22:31:00,1250.26,1250.26,1250.26
2024/09/02 22:32:00,1268.11,1268.11,1268.11
2024/09/02 22:33:00,1274.55,1274.55,1274.55
2024/09/02 22:34:00,1285.69,1285.69,1285.69
2024/09/02 22:35:00,1298.29,1298.29,1298.29
2024/09/02 22:36:00,1861.1,1861.1,1861.1
2024/09/02 22:37:00,1258.17,1258.17,1258.17
2024/09/02 22:38:00,1244.14,1244.14,1244.14
2024/09/02 22:39:00,1241.7,1241.7,1241.7
2024/09/02 22:40:00,1235.26,1235.26,1235.26
2024/09/02 22:41:00,1230.49,1230.49,1230.49
2024/09/02 22:42:00,1214.5,1214.5,1214.5
2024/09/02 22:43:00,1216.62,1216.62,1216.62
2024/09/02 22:44:00,1148.86,1148.86,1148.86
2024/09/02 22:45:00,1180.85,1180.85,1180.85
2024/09/02 22:46:00,1183.47,1183.47,1183.47
2024/09/02 22:47:00,1873.62,1873.62,1873.62
2024/09/02 22:48:00,1332.73,1332.73,1332.73
2024/09/02 22:49:00,1323.33,1323.33,1323.33
2024/09/02 22:50:00,1269.04,1269.04,1269.04
2024/09/02 22:51:00,1278.43,1278.43,1278.43
2024/09/02 22:52:00,1262.62,1262.62,1262.62
2024/09/02 22:53:00,1300.88,1300.88,1300.88
2024/09/02 22:54:00,2470.61,2470.61,2470.61
2024/09/02 22:55:00,1279.45,1279.45,1279.45
2024/09/02 22:56:00,1294.24,1294.24,1294.24
2024/09/02 22:57:00,1246.69,1246.69,1246.69
2024/09/02 22:58:00,1252.18,1252.18,1252.18
2024/09/02 22:59:00,1281.17,1281.17,1281.17
2024/09/02 23:00:00,1296.24,1296.24,1296.24
2024/09/02 23:01:00,1307.65,1307.65,1307.65
2024/09/02 23:02:00,1278.5,1278.5,1278.5
2024/09/02 23:03:00,1295.41,1295.41,1295.41
2024/09/02 23:04:00,1272.28,1272.28,1272.28
2024/09/02 23:05:00,1334.6,1334.6,1334.6
2024/09/02 23:06:00,1337.56,1337.56,1337.56
2024/09/02 23:07:00,1267.29,1267.29,1267.29
2024/09/02 23:08:00,1286.81,1286.81,1286.81
2024/09/02 23:09:00,1286.97,1286.97,1286.97
2024/09/02 23:10:00,1281.67,1281.67,1281.67
2024/09/02 23:11:00,1276.36,1276.36,1276.36
2024/09/02 23:12:00,1291.97,1291.97,1291.97
2024/09/02 23:13:00,1284.05,1284.05,1284.05
2024/09/02 23:14:00,1283.87,1283.87,1283.87
2024/09/02 23:15:00,1253.74,1253.74,1253.74
2024/09/02 23:16:00,1272.33,1272.33,1272.33
2024/09/02 23:17:00,1268.29,1268.29,1268.29
2024/09/02 23:18:00,1257.59,1257.59,1257.59
2024/09/02 23:19:00,1258.6,1258.6,1258.6
2024/09/02 23:20:00,1275.86,1275.86,1275.86
2024/09/02 23:21:00,1263.82,1263.82,1263.82
2024/09/02 23:22:00,1254.68,1254.68,1254.68
2024/09/02 23:23:00,1244.51,1244.51,1244.51
2024/09/02 23:24:00,1270.49,1270.49,1270.49
2024/09/02 23:25:00,1280.67,1280.67,1280.67
2024/09/02 23:26:00,1265.43,1265.43,1265.43
2024/09/02 23:27:00,1263.2,1263.2,1263.2
2024/09/02 23:28:00,1254.55,1254.55,1254.55
2024/09/02 23:29:00,1260.39,1260.39,1260.39
2024/09/02 23:30:00,1266.44,1266.44,1266.44
2024/09/02 23:31:00,1273.24,1273.24,1273.24
2024/09/02 23:32:00,1317.27,1317.27,1317.27
2024/09/02 23:33:00,1286.46,1286.46,1286.46
2024/09/02 23:34:00,1278.69,1278.69,1278.69
2024/09/02 23:35:00,1313,1313,1313
2024/09/02 23:36:00,1260.43,1260.43,1260.43
2024/09/02 23:37:00,1276.84,1276.84,1276.84
2024/09/02 23:38:00,1194.39,1194.39,1194.39
2024/09/02 23:39:00,1295.08,1295.08,1295.08
2024/09/02 23:40:00,1250.22,1250.22,1250.22
2024/09/02 23:41:00,1275.64,1275.64,1275.64
2024/09/02 23:42:00,1302.44,1302.44,1302.44
2024/09/02 23:43:00,1268.22,1268.22,1268.22
2024/09/02 23:44:00,1231.1,1231.1,1231.1
2024/09/02 23:45:00,1279.63,1279.63,1279.63
2024/09/02 23:46:00,1272.38,1272.38,1272.38
2024/09/02 23:47:00,1276.09,1276.09,1276.09
2024/09/02 23:48:00,1300.94,1300.94,1300.94
2024/09/02 23:49:00,1268.66,1268.66,1268.66
2024/09/02 23:50:00,1276.94,1276.94,1276.94
2024/09/02 23:51:00,1288.55,1288.55,1288.55
2024/09/02 23:52:00,1329.43,1329.43,1329.43
2024/09/02 23:53:00,1288.24,1288.24,1288.24
2024/09/02 23:54:00,1812.75,1812.75,1812.75
2024/09/02 23:55:00,1292.05,1292.05,1292.05
2024/09/02 23:56:00,1252.25,1252.25,1252.25
2024/09/02 23:57:00,1294.19,1294.19,1294.19
2024/09/02 23:58:00,1283.46,1283.46,1283.46
2024/09/02 23:59:00,1243.95,1243.95,1243.95
2024/09/03 00:00:00,1349.57,1349.57,1349.57
2024/09/03 00:01:00,1308.63,1308.63,1308.63
2024/09/03 00:02:00,1282.89,1282.89,1282.89
2024/09/03 00:03:00,1297.82,1297.82,1297.82
2024/09/03 00:04:00,1851.62,1851.62,1851.62
2024/09/03 00:05:00,1288.44,1288.44,1288.44
2024/09/03 00:06:00,1284.56,1284.56,1284.56
2024/09/03 00:07:00,1294.89,1294.89,1294.89
2024/09/03 00:08:00,1320.89,1320.89,1320.89
2024/09/03 00:09:00,1281.28,1281.28,1281.28
2024/09/03 00:10:00,1337.04,1337.04,1337.04
2024/09/03 00:11:00,1250.59,1250.59,1250.59
2024/09/03 00:12:00,1250.87,1250.87,1250.87
2024/09/03 00:13:00,1248.54,1248.54,1248.54
2024/09/03 00:14:00,1257.45,1257.45,1257.45
2024/09/03 00:15:00,1303.49,1303.49,1303.49
2024/09/03 00:16:00,1281.6,1281.6,1281.6
2024/09/03 00:17:00,1277,1277,1277
2024/09/03 00:18:00,1267.12,1267.12,1267.12
2024/09/03 00:19:00,1250.02,1250.02,1250.02
2024/09/03 00:20:00,1269.01,1269.01,1269.01
2024/09/03 00:21:00,1276.59,1276.59,1276.59
2024/09/03 00:22:00,1265.89,1265.89,1265.89
2024/09/03 00:23:00,1259.17,1259.17,1259.17
2024/09/03 00:24:00,1275.13,1275.13,1275.13
2024/09/03 00:25:00,1257.51,1257.51,1257.51
2024/09/03 00:26:00,1294.35,1294.35,1294.35
2024/09/03 00:27:00,1275.78,1275.78,1275.78
2024/09/03 00:28:00,1274.57,1274.57,1274.57
2024/09/03 00:29:00,1246.61,1246.61,1246.61
2024/09/03 00:30:00,1259.48,1259.48,1259.48
2024/09/03 00:31:00,1495.26,1495.26,1495.26
2024/09/03 00:32:00,1887.13,1887.13,1887.13
2024/09/03 00:33:00,1277.42,1277.42,1277.42
2024/09/03 00:34:00,1236.06,1236.06,1236.06
2024/09/03 00:35:00,1250.47,1250.47,1250.47
2024/09/03 00:36:00,1283.09,1283.09,1283.09
2024/09/03 00:37:00,1243.22,1243.22,1243.22
2024/09/03 00:38:00,1260.58,1260.58,1260.58
2024/09/03 00:39:00,1264.32,1264.32,1264.32
